#{"t_start": 1697674191.667181, "env_id": "LunarLander-v2"}
r,l,t
-514.184729,233,2.494439
-500.402681,185,2.54825
-578.530331,357,2.778069
-523.942669,383,3.022816
-236.811917,81,3.035243
-444.502434,185,3.090533
-528.138443,335,3.295955
-590.070148,247,3.392185
-534.466541,354,3.609921
-597.472249,244,3.711393
-586.172169,343,3.896798
-411.119237,120,3.924945
-284.534149,104,3.94403
-526.26911,278,4.081739
-511.753032,279,4.226466
-136.914372,1000,8.311028
-141.57924,1000,9.625072
-256.820908,1000,11.627102
-199.901026,1000,13.287591
-200.147074,1000,14.868623
-177.367381,1000,16.297917
-206.404311,1000,17.956722
-192.502557,1000,19.486733
-213.537388,1000,21.151734
-195.365146,1000,22.7751
-209.364909,1000,25.209848
-126.681143,1000,27.294807
-166.612794,1000,28.913806
-236.23562,1000,29.96598
-213.74199,1000,32.179319
-139.88431,1000,35.40915
-156.087539,1000,37.044284
-195.056864,1000,38.137288
-233.648498,1000,39.652762
-176.91776,1000,40.665479
-131.73161,1000,42.000633
-150.310067,1000,43.538731
-215.800113,1000,44.992321
-194.158297,1000,46.051236
-229.391453,1000,47.915562
-158.758916,1000,49.078851
-209.675007,1000,50.349478
-150.877099,1000,52.085463
-212.310478,1000,53.281983
-214.456962,1000,54.202903
-312.398925,87,61.312536
-152.14054,123,61.340777
-219.28761,210,61.412291
-163.288476,167,61.46323
-488.086498,78,61.47914
155.510296,299,61.621501
-350.089566,151,61.661993
-113.133604,197,61.721798
-369.944032,73,61.738397
-314.906434,98,61.762006
-427.029933,99,61.781623
-295.209101,144,61.817098
-260.125716,207,61.895578
-318.36785,70,61.910701
-177.257731,226,61.993669
-76.506401,154,65.237603
-115.970876,186,65.306061
-122.128454,195,65.367683
-107.474125,184,65.423862
-130.764192,168,65.472511
-115.934418,198,65.533817
-126.505638,193,65.593232
-190.035495,194,65.66086
-127.74162,99,65.684799
-68.020458,216,65.769389
-221.233832,202,65.840951
-139.873738,99,65.863463
-146.525523,154,65.903333
-72.151607,110,65.928937
-136.985951,147,65.968097
-78.114882,346,69.138672
-167.954844,516,69.692545
-85.369384,349,69.910316
-246.141578,388,70.139062
-249.525679,587,70.947299
-147.328229,561,71.616244
-91.03985,134,71.644503
-117.28961,344,71.873826
-185.55639,463,72.193498
-152.532296,512,72.610775
-195.795575,488,72.943147
-209.747048,567,73.508562
-197.362787,422,73.862603
-284.727473,691,74.901746
-206.119727,491,75.233862
-110.978592,247,78.307134
-135.5957,260,78.423711
-103.250729,73,78.436584
-147.148292,302,78.579955
-205.761639,325,78.762755
-183.996269,232,78.849188
174.431907,450,79.195433
-144.712835,305,79.349332
