#{"t_start": 1697720412.5152571, "env_id": "LunarLander-v2"}
r,l,t
-558.315897,120,4.661347
-520.144518,141,4.695376
-550.641399,99,4.717402
-205.502301,116,4.743427
-525.307488,151,4.785617
-423.239229,120,4.812288
-949.592048,144,4.849643
-334.774116,124,4.883287
-533.917923,116,4.909785
-496.10312,108,4.934407
-560.154725,94,4.955396
-489.545945,127,4.986939
-764.284168,172,5.040217
-480.795719,98,5.062591
-470.296389,114,5.090318
-350.399958,127,10.315131
-187.376452,142,10.354854
-415.116308,220,10.44873
-175.935373,118,10.480483
-320.834736,127,10.51075
-228.260441,146,10.552375
-194.992462,131,10.587951
-64.56596,229,10.678665
-247.778297,125,10.708846
-168.129415,161,10.754695
-408.047278,208,10.814286
-206.99984,146,10.859296
-286.8488,226,10.967501
-160.53545,148,11.007884
-339.842461,228,11.098087
-303.869276,574,16.889345
-250.589258,400,17.238528
-39.186661,293,17.434075
-243.252713,331,17.653796
-125.749735,527,18.138475
-148.873813,303,18.349071
-233.165755,389,18.615761
-112.56564,586,19.232122
-259.347298,271,19.342217
-203.894377,357,19.614078
-161.647312,352,19.843501
-84.539266,392,20.140262
-119.768224,311,20.334464
-35.416304,360,20.6436
-209.488519,549,21.515948
-218.348998,515,27.645684
-228.826206,413,27.982826
-380.061856,325,28.170669
-144.194017,539,28.713357
-218.064789,757,30.076105
-324.231115,695,30.838913
-210.172865,305,31.044586
-281.073588,520,31.666841
-345.113474,607,32.402408
-231.715079,382,32.735605
-220.387563,280,32.883128
-389.054797,315,33.069651
-227.358579,693,33.817251
-396.570996,291,33.95494
-201.789124,522,34.690225
-229.822447,112,40.995981
-196.677728,1000,43.114211
-260.184975,481,43.559301
-276.267098,1000,45.70263
-360.173306,960,48.117964
-388.604438,994,50.598358
-303.039526,1000,52.692977
-259.740137,562,53.359825
-384.030206,886,54.399109
-236.607334,91,54.421196
-251.805942,193,54.496692
-396.767945,719,55.57057
-434.719374,947,57.646549
-319.253596,437,58.055985
-272.700593,362,58.290387
-235.485097,411,64.283778
-212.76534,325,64.490699
-245.149937,261,64.633743
-238.269063,214,64.734539
-205.391184,147,64.777616
-164.485752,166,64.838437
-214.704446,230,64.9507
-245.698009,174,65.008072
-171.122409,123,65.039828
-175.069314,285,65.19576
-253.68077,186,65.264202
-223.595452,168,65.3252
-111.179286,202,65.405188
-157.097254,146,65.447189
-250.020042,98,65.47443
-184.866956,105,70.869904
-224.45874,93,70.894482
-280.273035,623,71.545443
-214.689012,455,72.063336
-251.050722,305,72.260333
-220.480688,225,72.370893
-178.350744,129,72.404959
-208.652182,349,72.619948
-179.594271,751,74.168944
-177.955877,531,74.825699
-207.695474,125,74.859491
-234.727017,365,75.079248
-207.86495,386,75.378296
-236.417095,711,76.357015
-356.203659,822,77.786935
-153.056457,271,83.494427
-212.434448,84,83.514124
-197.443077,277,83.684952
-170.756422,126,83.716691
-137.046793,248,83.857441
-225.457413,563,84.561044
-274.422752,749,85.620164
205.879787,746,86.770058
-170.168791,406,87.076812
-220.948932,608,87.772257
-202.833848,446,88.091759
-102.522162,579,88.716831
-188.95598,95,88.738517
-210.698381,114,88.765565
-62.941145,89,88.786086
-179.586532,1000,95.873299
-182.527611,513,96.646283
-220.1427,116,96.673903
-202.908897,1000,97.755613
-208.852003,110,97.782693
-230.312061,105,97.807371
-223.404859,118,97.838722
-188.518171,308,98.013232
-112.783694,451,98.479133
-251.471432,630,99.016081
-106.578246,362,99.272758
-158.084082,108,99.300543
-110.505939,505,99.949016
-163.757591,601,100.48757
-228.215488,92,100.510166
-141.553118,568,106.737643
-358.9441,861,107.859904
-134.054543,182,107.919153
-157.199629,113,107.948367
-168.257639,250,108.058269
-198.75019,120,108.0905
-77.823786,611,108.749992
-205.065888,145,108.789163
-191.432854,89,108.809344
-224.289309,104,108.833446
-137.538669,682,109.511839
-390.507193,323,109.712241
89.383437,906,112.233898
211.982767,630,113.049428
-254.25367,539,113.807734
-127.76064,688,120.379143
-165.774663,215,120.477384
-195.108289,135,120.517697
-266.856739,548,121.074793
-129.892333,117,121.107377
-190.435286,283,121.235209
-174.055245,361,121.44587
-160.493412,113,121.472391
-150.041796,184,121.536855
-176.285194,425,121.937774
-141.707535,257,122.064135
-249.530195,118,122.09762
-122.661386,264,122.2542
-206.127883,635,122.965473
-142.992174,170,123.024447
-149.137509,209,128.434803
-109.478515,353,128.663705
-191.726884,203,128.753857
-219.515378,352,128.984204
-130.760414,192,129.050263
-134.621345,206,129.129192
-115.832148,115,129.159695
-226.864507,87,129.18059
-128.183579,162,129.233109
-102.195868,131,129.262712
-158.548839,417,129.674101
-159.022155,161,129.722627
-214.640416,97,129.747339
-167.27317,126,129.779832
-229.80426,347,130.0448
-214.052614,328,135.536812
-197.362834,320,135.782201
-187.838338,90,135.806137
-255.503967,790,137.851491
-171.352995,502,138.47337
-221.335204,463,138.995368
-193.831188,535,139.530109
-192.971204,469,139.904084
-149.19676,313,140.142558
-194.776533,117,140.172058
-138.902675,283,140.326646
-132.773844,141,140.367294
-234.617582,614,141.181392
-76.587633,91,141.201835
-214.508404,329,141.465309
-241.183115,617,147.83791
-44.311579,416,148.116024
-261.140639,561,148.56176
-287.51547,571,149.231289
-196.388975,1000,151.192948
-259.839946,783,152.261192
-306.461502,968,153.658688
-233.298678,418,153.991163
-128.883276,214,154.065895
-167.042604,354,154.369763
-251.314886,663,155.247612
-248.727788,801,157.401291
-169.627978,200,157.473701
-142.710229,1000,159.209029
-204.23987,746,160.317918
-78.745792,420,166.606075
-241.509183,492,167.107903
-140.902594,241,167.231685
-104.125033,247,167.34686
-207.673942,152,167.391479
-172.65249,304,167.572731
-152.008744,153,167.621611
-229.072672,188,167.686424
-169.129412,224,167.788552
-291.59283,367,168.107019
-189.60923,88,168.130081
-182.813273,210,168.218254
-161.997231,257,168.314995
-182.470063,341,168.534365
-156.268192,120,168.562489
-240.493558,183,174.394503
-167.553989,94,174.418047
-199.60922,1000,175.6533
-176.763199,534,176.160373
-107.958142,227,176.246533
-161.074126,398,176.535872
-188.910273,1000,178.076821
-235.647124,175,178.135896
-152.605253,1000,180.916254
-165.845878,87,180.934897
-181.063629,1000,182.90113
-232.429637,99,182.925263
-161.242197,150,182.972956
-122.902253,1000,185.107535
-176.335981,617,185.975227
-178.995852,1000,194.08278
-137.245321,1000,195.667129
-177.100153,203,195.744871
-174.855353,1000,197.274223
-177.934664,240,197.392554
-145.422077,1000,200.211124
-128.587554,1000,201.609055
-149.034085,652,202.596453
-189.03225,1000,205.117492
-125.907592,1000,206.978273
-66.465566,129,207.014607
-142.414714,146,207.060687
-100.437442,1000,209.004761
-99.363927,1000,210.401701
-214.751647,1000,212.006331
-176.584997,634,218.857107
-274.394838,893,220.269839
-211.386548,297,220.422983
-165.760873,111,220.44918
-276.245185,888,221.688511
-186.29042,232,221.782655
-191.751386,1000,223.348889
-173.206284,334,223.576577
-170.36444,225,223.684045
-239.233212,1000,225.194554
-189.949729,243,225.313437
28.598656,245,225.429537
-174.80781,532,225.8124
-8.038197,231,225.917436
-135.711845,1000,227.631249
-108.480757,410,233.883439
-163.090479,1000,235.544533
-103.652518,334,235.761259
-99.047041,134,235.799495
-259.661955,838,237.177413
-85.648522,259,237.290159
-145.684005,424,237.498451
-164.685263,228,237.604432
-248.997188,659,238.654152
-60.304766,265,238.783698
-155.88724,73,238.796553
-121.496898,147,238.845193
-148.803318,1000,240.975231
-191.694364,637,241.701243
-73.118713,356,241.937759
-163.234999,90,247.326896
-113.388551,102,247.354382
-153.323157,85,247.374213
-95.197126,385,247.638156
-147.27196,263,247.77667
-181.641544,692,248.690539
-68.635452,1000,249.86514
-119.597745,432,250.148338
-201.6579,1000,251.730835
-139.378442,397,252.055587
-181.907878,295,252.189287
-154.505756,313,252.33314
-211.746731,126,252.367698
-47.701435,252,252.501571
-61.315532,1000,255.193074
-237.027054,133,260.729164
-138.965085,132,260.763712
-191.499199,305,260.943966
-44.379772,314,261.099486
-302.086044,832,262.361604
-141.155808,398,262.600567
-77.323906,297,262.791529
-148.291973,350,263.06143
-136.986099,203,263.142243
118.159059,669,263.994308
-115.560923,482,264.280107
-175.324589,409,264.587215
-188.827701,571,265.067281
-189.485788,417,265.471272
-156.851923,577,266.09934
-95.815223,281,272.724212
-178.031394,319,272.911385
-69.971459,291,273.051176
-81.653434,346,273.208448
-102.164477,241,273.30731
-100.751389,358,273.583511
-174.685807,372,273.908931
-91.033715,267,274.051129
-232.951635,492,274.441198
-129.755034,1000,276.517978
-194.844625,122,276.547055
-104.060529,376,276.891928
-155.028892,126,276.923082
-174.414314,100,276.943805
-121.962848,414,277.208961
-54.689258,192,282.663133
-195.685143,95,282.681113
-162.837361,1000,284.486442
-1.186701,162,284.537809
-239.976005,476,284.962204
-111.019855,1000,286.983839
-132.696163,224,287.06653
-306.26508,528,287.59912
-129.899429,975,289.670786
-12.637448,1000,291.925963
-128.352478,431,292.338758
