#{"t_start": 1697684642.142205, "env_id": "LunarLander-v2"}
r,l,t
-427.062418,164,2.741541
-370.935199,217,2.826621
-356.902221,110,2.847827
-339.941891,195,2.919191
-436.130575,137,2.956023
-474.661287,210,3.027164
-379.354454,207,3.109297
-343.840761,165,3.153599
-316.506984,68,3.167125
-344.501896,181,3.227356
-341.911643,153,3.272348
-296.532608,148,3.308363
-452.418553,95,3.331898
-295.852582,225,3.41473
-319.369909,155,3.451166
-126.480102,580,7.025198
-123.365769,230,7.122944
-117.45451,144,7.159428
-46.254658,160,7.208578
-305.401502,793,8.723357
-212.429916,139,8.761904
-157.738858,215,8.857063
-226.314742,370,9.086597
-134.380757,252,9.193823
-92.935701,313,9.381965
-91.971268,235,9.485868
-118.391477,247,9.599816
-129.417404,260,9.742435
-99.702109,676,10.723937
-190.749857,248,10.858098
-161.191559,351,161.650026
-13.596998,130,161.685954
-61.339479,243,161.786219
-285.293073,354,162.036327
-213.458509,364,162.323188
-123.452565,216,162.402712
-191.240611,229,162.499153
-223.825751,210,162.571089
-240.7255,425,162.866852
-238.386012,559,163.506165
-154.056237,406,163.803438
-179.441086,215,163.878134
-230.895049,408,164.133059
-283.539984,423,164.513958
-252.839178,509,165.088735
-139.852797,1000,170.448921
-248.301067,312,170.595576
-223.767904,557,171.221853
-177.013478,1000,172.528054
-307.259159,578,172.970693
-47.520913,138,173.006412
-203.173573,1000,174.536454
-321.306732,735,175.201883
-143.884187,1000,176.710476
-184.380291,1000,189.390885
-440.485352,602,190.026939
-208.15793,1000,192.279467
-342.812106,807,193.373266
-170.569776,1000,194.741372
-154.457354,1000,598.95226
-237.321601,290,600.261628
-233.291452,437,600.618279
-225.652907,1000,602.911802
-38.868289,153,602.958017
-319.064883,786,603.931597
-265.211234,612,604.564751
-161.40126,1000,605.906361
-118.761851,1000,607.933443
-164.35767,1000,609.324731
-335.417264,563,609.897454
-327.568816,575,610.503635
-426.13908,676,611.116727
-271.595376,587,611.594832
-333.742011,970,613.474472
-204.005903,1000,1538.386301
-203.752971,1000,1545.364264
-139.617637,1000,1547.695973
-215.607933,607,1548.287609
-174.774948,1000,1550.30876
-114.497603,1000,1554.615831
-191.205453,1000,1556.287694
-99.397209,1000,1557.545297
-165.480212,1000,1558.583101
-76.477174,1000,1560.265939
-134.144089,1000,2047.517717
-149.687677,1000,2049.206125
-130.272352,1000,2051.759445
-170.671868,1000,2053.451042
-88.472384,1000,2055.954658
-94.506843,458,2056.373531
-363.756669,762,2062.654655
-402.533604,817,2063.487347
-344.789022,642,2064.035436
-341.595353,745,2064.851461
-399.415389,817,2184.923691
-345.539999,772,2185.75337
-363.145161,784,2186.789343
-417.933166,661,2187.729936
-414.696873,965,2189.413639
-400.977174,833,2190.455134
-304.578544,667,2190.906152
-316.01354,733,2191.782375
-362.970162,778,2462.075737
-408.668593,760,2463.023191
-338.847773,672,2463.719188
-211.570179,215,2466.324295
-178.603677,347,2466.513058
-397.895395,563,2467.033102
-195.894189,295,2467.193577
-205.473684,352,2467.410506
-199.027407,1000,2469.04736
-103.125796,1000,2470.515943
-331.114988,732,2471.366831
214.095229,508,2471.792692
-428.139749,425,2472.122819
-164.045094,1000,3409.425075
-176.841783,1000,3410.848446
-593.143793,241,3410.932299
-217.357964,1000,3412.730226
-206.640455,1000,3563.568704
-296.695963,147,3568.689548
-92.295861,495,3569.158267
-73.138173,552,3569.621296
-261.102283,142,3569.658808
-5.676161,265,3569.805467
-244.184614,121,3569.830373
209.880666,540,3570.245323
-305.074379,248,3570.353756
-463.673825,640,3570.891273
-44.815557,509,3571.25995
-298.848246,132,3571.289891
-140.189746,700,3571.841438
-334.107276,240,3571.926849
-106.169529,523,3572.360401
-5.966524,599,3597.043392
-113.743497,236,3600.22767
-133.790989,128,3600.259038
-26.047422,188,3600.322892
-72.059292,300,3600.47794
-102.886737,165,3600.528368
-54.004282,483,3600.990707
-112.873831,120,3601.017264
-119.080322,129,3601.045232
46.65295,156,3601.090412
-19.772268,207,3601.164809
-24.262347,402,3601.535349
-115.027524,220,3601.619223
210.688921,283,3601.773283
-19.712268,465,3602.05865
208.472004,359,3602.300104
13.472327,211,3605.463016
1.980923,145,3605.497898
-1.407034,260,3605.585715
-21.787268,251,3605.68737
219.78799,229,3605.782763
-105.685629,94,3605.800985
188.478123,327,3606.00764
-97.449029,101,3606.027514
-58.532602,87,3606.044094
